Year,Oilseed_Area,Oilseed_Prod.,Oilseed_Yield,Potato_Area,Potato_Prod.,Potato_Yield,Sugarcane_Area,Sugarcane_Prod.,Sugarcane_Yield,Jute_Area,Jute_Prod.,Jute_Yield,Cotton_Area,Cotton_Prod.,Cotton_Yield
2012/13,215600,179000,0.78,197234,2690421,13.64,64483,2930000,45.44,11300,15500,1.37,175,150,0.86
2013/14,207457,181535,0.78,205725,2817512,13.7,76863,3315939,43.14,8787,12659,1.44,130,132,1.02
2014/15,233041,209612,0.78,197037,2586287,13.13,66600,3063000,45.99,11400,16530,1.45,123,137,1.11
2015/16,217867,208291,0.78,199971,2805582,14.03,80931,4346754,53.71,8011,11633,1.45,125,129,1.03
2016/17,207978,214451,0.78,185879,2591686,13.94,70807,3219560,45.47,7477,11018,1.47,143,127,0.89
2017/18,224595,245867,0.78,195268,3088000,15.81,78609,3679508,46.81,7607,11159,1.47,120,125,1.04
2018/19,260307,280530,1.08,193997,3112947,16.05,71625,3557934,49.67,7285,10585,1.45,97,99,1.02
2019/20,258141,278325,1.08,188098,3131830,16.65,68565,3400176,49.59,7555,10165,1.45,135,140,1.02
2020/21,259101,287038,1.11,198788,3325231,16.73,64354,3183943,49.48,7415,10451,1.41,142,147,1.04
2021/22,260645,287344,1.1,198256,3410829,17.2,62567,3159634,50.5,7195,10217,1.42,155,172,1.11
