District,Milking Cows No.,Milking Buffaloes No.,Cow Milk(Mt.),Buffaloes Milk (Mt.),Total Milk Produced (Mt.)
BHOJPUR,15006,17001,8543,9751,18294
DHANKUTA,14951,5896,10117,3957,14074
ILAM,23707,7634,26483,5948,32431
JHAPA,56405,26920,62578,23743,86320
KHOTANG,13680,16916,7716,9978,17693
MORANG,78354,36589,87290,32623,119913
OKHALDHUNGA,8396,14113,4890,9452,14342
PANCHTHAR,15248,12168,10050,8560,18611
SANKHUWASABHA,15133,11515,9160,7443,16603
SOLUKHUMBU,7372,11288,4449,6897,11346
SUNSARI,54002,58136,62917,54433,117350
TAPLEJUNG,7207,5005,4025,2925,6950
TERHATHUM,9218,7897,6103,5420,11523
UDAYAPUR,20675,33261,16861,24252,41113
BARA,25455,54432,24445,50748,75193
DHANUSHA,24656,23240,22476,20876,43352
MAHOTTARI,20893,24494,18071,21873,39945
PARSA,13962,19475,14443,18689,33132
RAUTAHAT,20698,27392,15741,25674,41415
SAPTARI,40567,64004,35271,61770,97042
SARLAHI,34731,32079,30042,29775,59817
SIRAHA,15077,30379,11102,28507,39609
BHAKTAPUR,5379,3304,8678,3178,11856
CHITWAN,19853,28992,31328,27944,59272
DHADING,20394,30720,19438,25282,44720
DOLAKHA,10936,18681,8662,15849,24511
KATHMANDU,11150,15025,18348,14873,33221
KABHREPALAN- CHOK,27476,57043,32906,57852,90758
LALITPUR,4561,23440,5478,28472,33950
MAKWANPUR,20429,36102,21223,30997,52220
NUWAKOT,20283,29891,18898,24306,43204
RAMECHHAP,10084,14255,9592,11514,21106
RASUWA,2005,1686,1187,1062,2249
SINDHULI,20939,21458,21021,17923,38944
SINDHUPALCHOK,9303,20944,7294,18899,26193
BAGLUNG,4511,27691,3320,26730,30051
GORKHA,12440,20509,8860,19887,28747
KASKI,11831,20930,13312,24456,37768
LAMJUNG,4901,14488,3662,12856,16518
MANANG,367,-,168,-,168
MUSTANG,1075,32,610,16,626
MYAGDI,5199,6264,3077,4584,7661
NAWALPARASI EAST,18421,23367,20579,24266,44845
PARBAT,3581,10747,2797,10425,13222
SYANGJA,5204,32107,3819,30358,34177
TANAHUN,12300,18756,10175,20373,30548
ARGHAKHANCHI,5741,25791,4329,23719,28048
BANKE,34665,60679,32754,53033,85787
BARDIYA,18516,45179,18487,38311,56797
DANG,22450,46781,18089,39250,57339
GULMI,6910,14531,4775,12290,17066
KAPILBASTU,24975,43876,25436,39538,64974
NAWALPARASI WEST,14107,21970,14880,20652,35532
PALPA,11738,28818,9527,26408,35935
PYUTHAN,11588,22087,7112,17965,25077
ROLPA,16735,15887,10231,11360,21592
RUKUM EAST,2590,5244,1588,4417,6006
RUPANDEHI,21048,64089,25820,55723,81543
DAILEKH,12126,18318,7451,12904,20355
DOLPA,3333,1005,1645,586,2230
HUMLA,2554,852,1261,493,1753
JAJARKOT,5914,9016,2920,6326,9246
JUMLA,8977,1047,4676,640,5315
KALIKOT,3334,8513,1724,4914,6637
MUGU,5523,3827,2856,2339,5194
RUKUM WEST,3980,14536,2764,10590,13354
SALYAN,19307,21846,13622,17031,30653
SURKHET,8602,13617,6722,11294,18016
ACHHAM,7375,9556,3908,7411,11319
BAITADI,19448,15534,11886,12054,23940
BAJHANG,13292,8963,7643,6319,13962
BAJURA,14399,6136,7537,4349,11886
DADELDHURA,15392,6187,9476,4822,14298
DARCHULA,10199,7936,4639,5035,9674
DOTI,17447,16390,10687,13310,23997
KAILALI,35617,54882,34589,51472,86061
KANCHANPUR,27164,37469,25573,34852,60426
