Province,District,Maize_Area,Maize_Production,Maize_Yield,Wheat_Area,Wheat_Production,Wheat_Yield,Paddy_Area,Paddy_Production,Paddy_Yield,Millet_Area,Millet_Production,Millet_Yield,Buckwheat_Area,Buckwheat_Production,Buckwheat_Yield,Barley_Area,Barley_Production,Barley_Yield
KOSHI,TAPLEJUNG,11198,38312,3.42,1537,2875,1.87,6772,20451,3.02,2987,4242,1.42,131,174,1.32,269,405,1.51
KOSHI,SANKHUWASABHA,12458,33146,2.66,715,1650,2.31,11998,33401,2.78,6664,8664,1.3,18,23,1.26,12,16,1.34
KOSHI,SOLUKHUMBU,13770,39048,2.84,2665,5306,1.99,1276,3485,2.73,2105,2830,1.34,339,358,1.05,162,193,1.19
KOSHI,PANCHTHAR,18683,42971,2.3,3902,6476,1.66,7852,22769,2.9,3738,6217,1.66,57,61,1.07,299,431,1.44
KOSHI,ILLAM,33915,131700,3.88,4580,11679,2.55,11999,41750,3.48,1600,2525,1.58,25,41,1.64,49,59,1.2
KOSHI,TERHATHUM,12897,38756,3.01,2399,4796,2,7782,21676,2.79,2505,2956,1.18,27,27,1,64,85,1.33
KOSHI,DHANKUTA,13467,45114,3.35,1302,2733,2.1,6362,24626,3.87,7230,8759,1.21,5,8,1.79,-,-,-
KOSHI,BHOJPUR,36898,97555,2.64,414,745,1.8,14570,37303,2.56,5284,6657,1.26,36,39,1.08,10,15,1.5
KOSHI,KHOTANG,35845,98079,2.74,3530,6531,1.85,12267,32017,2.61,22315,31308,1.4,622,734,1.18,341,522,1.53
KOSHI,OKHALDHUNGA,12400,39680,3.2,2145,3330,1.55,4021,10008,2.49,8251,15378,1.86,105,111,1.06,75,107,1.43
KOSHI,UDAYAPUR,17836,55239,3.1,5130,12825,2.5,14233,55170,3.88,2768,5147,1.86,21,23,1.07,29,43,1.48
KOSHI,JHAPA,41059,162613,3.96,5000,13505,2.7,92915,406738,4.38,1000,1300,1.3,1850,3224,1.74,4,7,1.75
KOSHI,MORANG,18552,68801,3.71,11755,33687,2.87,87746,354000,4.03,1531,1833,1.2,245,255,1.04,-,-,-
KOSHI,SUNSARI,9034,29432,3.26,12127,41195,3.4,53392,200320,3.75,505,585,1.16,299,380,1.27,14,22,1.57
MADHESH,SAPTARI,6589,23211,3.52,15017,54351,3.62,50864,172195,3.39,183,231,1.26,-,-,-,-,-,-
MADHESH,SIRAHA,3755,14007,3.73,11794,41468,3.52,48885,164931,3.37,440,458,1.04,-,-,-,-,-,-
MADHESH,DHANUSHA,3476,11343,3.26,37788,126387,3.34,55806,179000,3.21,176,180,1.02,-,-,-,1,2,1.5
MADHESH,MAHOTTARI,9754,29783,3.05,29379,95874,3.26,39436,148086,3.76,-,-,-,-,-,-,8,9,1.18
MADHESH,SARLAHI,10205,35831,3.51,22984,77128,3.36,45964,159263,3.46,709,638,0.9,-,-,-,260,290,1.12
MADHESH,RAUTAHAT,3513,12821,3.65,15991,52888,3.31,40529,129765,3.2,71,74,1.04,-,-,-,3,5,1.57
MADHESH,BARA,11940,46653,3.91,27103,94650,3.49,55198,214553,3.89,76,88,1.16,-,-,-,38,41,1.08
MADHESH,PARSA,4189,17166,4.1,23008,86163,3.74,45216,221411,4.9,-,-,-,-,-,-,29,42,1.46
BAGMATI,DOLAKHA,6171,22155,3.59,4246,7515,1.77,2872,7094,2.47,3659,4854,1.33,1057,1160,1.1,136,165,1.21
BAGMATI,SINDHUPALCHOK,26190,75713,2.89,6904,8723,1.26,11862,38878,3.28,17350,18500,1.07,226,206,0.91,172,205,1.19
BAGMATI,RASUWA,2524,6310,2.5,761,1232,1.62,1245,3525,2.83,898,1032,1.15,21,19,0.9,243,335,1.38
BAGMATI,RAMECHAP,22367,68286,3.05,3674,8560,2.33,8709,19207,2.21,4989,5690,1.14,20,20,0.96,63,85,1.35
BAGMATI,SINDHULI,27556,85601,3.11,6354,14890,2.34,14161,54526,3.85,11700,11089,0.95,644,651,1.01,41,65,1.59
BAGMATI,KAVRE,26010,88550,3.4,8860,28700,3.24,10861,38004,3.5,3505,4530,1.29,548,597,1.09,378,658,1.74
BAGMATI,BHAKTAPUR,1900,7750,4.08,3150,12409,3.94,3939,20169,5.12,110,117,1.06,4,5,1.03,17,29,1.71
BAGMATI,LALITPUR,8573,33656,3.93,3485,11858,3.4,4169,18552,4.45,600,804,1.34,57,58,1.03,38,55,1.45
BAGMATI,KATHMANDU,6897,29748,4.31,3200,11174,3.49,5955,26499,4.45,770,1300,1.69,7,7,0.98,2,4,1.51
BAGMATI,NUWAKOT,16206,49408,3.05,4495,16044,3.57,17868,75235,4.21,5110,7234,1.42,219,231,1.05,155,198,1.28
BAGMATI,DHADING,19776,45785,2.32,4748,15496,3.26,13632,55038,4.04,6940,7445,1.07,114,119,1.04,301,385,1.28
BAGMATI,MAKWANPUR,24113,78209,3.24,4128,13622,3.3,12067,45520,3.77,2650,3340,1.26,394,427,1.08,265,352,1.33
BAGMATI,CHITWAN,28055,105239,3.75,5151,23248,4.51,27403,104544,3.82,1478,1693,1.15,1300,1393,1.07,15,28,1.87
GANDAKI,MANANG,177,351,1.98,213,500,2.35,-,-,-,-,-,-,361,610,1.88,111,175,1.58
GANDAKI,MUSTANG,67,99,1.48,84,142,1.69,-,-,-,-,-,-,568,805,1.42,255,495,1.94
GANDAKI,GORKHA,18935,46400,2.45,3910,9235,2.36,12586,48250,3.83,12180,14820,1.22,332,472,1.42,110,141,1.28
GANDAKI,LAMJUNG,19255,48166,2.5,368,962,2.61,14598,46481,3.18,7793,9473,1.22,19,18,0.95,16,28,1.75
GANDAKI,TANAHU,22316,74574,3.34,1643,4119,2.51,11007,43962,3.99,6729,7700,1.14,217,219,1.01,5,6,1.13
GANDAKI,KASKI,13583,39229,2.97,6820,17201,2.52,20055,59531,2.97,13604,21060,1.55,15,17,1.19,8,8,1
GANDAKI,PARBAT,13700,35500,2.59,2600,6350,2.44,8384,33158,3.95,8592,9560,1.11,193,254,1.32,80,105,1.31
GANDAKI,SYANGJA,28945,97930,3.38,5560,16008,2.88,16305,62103,3.81,16501,20346,1.23,273,294,1.08,6,6,1
GANDAKI,MYAGDI,9435,32200,3.41,2530,6272,2.48,3884,13357,3.44,259,292,1.13,99,98,0.99,205,223,1.09
GANDAKI,BAGLUNG,18850,64260,3.41,6900,17319,2.51,5893,20307,3.45,2958,3652,1.23,178,197,1.11,275,395,1.44
GANDAKI,NAWALPARASI EAST,5101,15556,3.05,7605,20930,2.75,19516,79187,4.06,18456,23247,1.26,98,140,1.43,90,120,1.33
LUMBINI,PALPA,21643,55779,2.58,5786,13572,2.35,7775,29621,3.81,2684,3762,1.4,438,403,0.92,24,24.2,1.01
LUMBINI,GULMI,22445,68269,3.04,6517,19386,2.97,8190,24924,3.04,2927,3817,1.3,275,513,1.87,426,353,0.83
LUMBINI,ARGHAKHANCHI,16955,54975,3.24,7340,19955,2.72,7164,21942,3.06,511,577,1.13,350,450,1.28,375,388,1.03
LUMBINI,NAWALPARASI WEST,4466,15419,3.45,7638,22303,2.92,19639,72472,3.69,228,238,1.04,6,7,1.28,5,6,1.23
LUMBINI,RUPANDEHI,2751,10752,3.91,26118,103167,3.95,63873,249151,3.9,46,53,1.14,-,-,-,74,145,1.96
LUMBINI,KAPILBASTU,1334,4451,3.34,26292,98184,3.73,66261,211484,3.19,-,-,-,18,17,-,177,330,1.87
LUMBINI,DANG,24900,77847,3.13,12690,39694,3.13,35114,129903,3.7,14,15,1.06,57,63,1.11,23,28,1.23
LUMBINI,BANKE,19545,62192,3.18,23500,79000,3.36,33896,78316,2.31,-,-,-,-,-,-,8,11,1.37
LUMBINI,BARDIYA,5350,20008,3.74,23500,79500,3.38,49557,146971,2.97,-,-,-,-,-,-,8,12,1.5
LUMBINI,RUKUM EAST,5037,14559,2.89,3273,8952,2.74,1720,4523,2.63,641,833,1.3,163,187,1.15,962,967,1.01
LUMBINI,PYUTHAN,12158,35626,2.93,8690,24959,2.87,6029,18597,3.08,2205,2918,1.32,11,14,1.27,736,787,1.07
LUMBINI,ROLPA,12335,38500,3.12,8596,24400,2.84,4407,11617,2.64,1126,1498,1.33,102,95,0.93,620,625,1.01
KARNALI,DOLPA,2204,2798,1.27,2805,4010,1.43,198,348,1.76,280,310,1.11,986,858,0.87,334,345,1.03
KARNALI,MUGU,1120,2350,2.1,1795,1870,1.04,903,998,1.1,4264,4996,1.17,677,637,0.94,994,1205,1.21
KARNALI,HUMLA,219,252,1.15,1172,1526,1.3,567,852,1.5,1308,1607,1.23,911,960,1.05,642,811,1.26
KARNALI,JUMLA,4200,6720,1.6,2355,5290,2.25,2821,4324,1.53,3737,5191,1.39,243,285,1.17,3003,4615,1.54
KARNALI,KALIKOT,3036,8535,2.81,5508,8567,1.56,2454,5464,2.23,1241,1662,1.34,139,159,1.15,647,772,1.19
KARNALI,RUKUM WEST,8350,31954,3.83,9385,22247,2.37,1755,4598,2.62,466,633,1.36,165,206,1.25,480,702,1.46
KARNALI,SALYAN,19335,60256,3.12,13217,41610,3.15,6758,24238,3.59,1231,1314,1.07,74,89,1.19,749,1275,1.7
KARNALI,JAJARKOT,10500,34650,3.3,10432,26080,2.5,2651,9296,3.51,1833,2387,1.3,35,44,1.25,595,784,1.32
KARNALI,DAILEKH,18680,55880,2.99,13710,33801,2.47,7987,24125,3.02,2760,3080,1.12,32,32,1.01,185,212,1.15
KARNALI,SURKHET,13252,46756,3.53,12191,42354,3.47,12818,50903,3.97,2995,3497,1.17,56,85,1.52,630,1105,1.75
SUDURPASHCHIM,BAJURA,3293,4850,1.47,10450,15675,1.5,4150,10832,2.61,5870,5907,1.01,255,267,1.05,1470,1970,1.34
SUDURPASHCHIM,BAJHANG,4050,6599,1.63,10927,21944,2.01,6367,16553,2.6,2761,3525,1.28,105,143,1.36,2354,4102,1.74
SUDURPASHCHIM,DARCHULA,5530,15401,2.78,5962,9658,1.62,3494,9433,2.7,1263,1589,1.26,109,113,1.04,1087,1598,1.47
SUDURPASHCHIM,ACHHAM,6688,20714,3.1,14730,24676,1.68,15003,31887,2.13,3857,4912,1.27,83,76,0.92,412,455,1.1
SUDURPASHCHIM,DOTI,3998,12038,3.01,14302,28162,1.97,9633,22406,2.33,4570,5833,1.28,14,14,0.96,240,321,1.34
SUDURPASHCHIM,BAITADI,10864,32078,2.95,15400,24122,1.57,7219,16676,2.31,354,408,1.15,17,20,1.18,671,812,1.21
SUDURPASHCHIM,DADELDHURA,3810,11430,3,8744,23905,2.73,5799,17803,3.07,572,647,1.13,34,45,1.32,205,355,1.73
SUDURPASHCHIM,KAILALI,6130,21289,3.47,34944,125252,3.58,72377,181859,2.51,356,404,1.13,27,34,1.26,410,469,1.14
SUDURPASHCHIM,KANCHANPUR,3250,11534,3.55,31355,101995,3.25,48745,132465,2.72,-,-,-,-,-,-,133,232,1.74
