YEAR,Barley_YIELD,Barley_PROD.,Barley_AREA,Wheat_YIELD,Wheat_PROD.,Wheat_AREA,Buckwheat_YIELD,Buckwheat_PROD.,Buckwheat_AREA,Miillet_YIELD,Miillet_PROD.,Miillet_AREA,Maize_YIELD,Maize_PROD.,Maize_AREA,Paddy_YIELD,Paddy_PROD.,Paddy_AREA,
13-2012,1.28,36973,28989,2.48,1882220,759843,0.94,10056,10681,1.11,305588,274350,2.35,1999010,849635,3.17,4504503,1420570,
14-2013,1.24,34824,28173,2.5,1883147,754474,0.98,10335,10510,1.12,304105,271183,2.46,2283222,928761,3.39,5047047,1486951,
15-2014,1.33,37354,28053,2.59,1975625,762373,1.01,10870,10819,1.15,308488,268050,2.43,2145291,882395,3.36,4788612,1425346,
16-2015,1.16,32801,28361,2.33,1736849,745823,1.07,11641,10842,1.13,302397,266799,2.5,2231517,891583,3.15,4299079,1362908,
17-2016,1.11,30510,27370,2.55,1879191,735850,1.09,12039,11090,1.16,306704,263596,2.55,2300121,900288,3.37,5230327,1552469,
18-2017,1.24,30510,24648,2.76,1949001,706843,1.11,11472,10296,1.19,313987,263497,2.68,2555847,954158,3.51,5151925,1469545,
19-2018,1.25,30550,24409,2.85,2005665,703992,1.11,11464,10311,1.19,314225,263261,2.84,2713635,956447,3.76,5610011,1491744,
20-2019,1.28,31147,24404,3.09,2185289,707505,1.13,11724,10369,1.22,320953,262547,2.96,2835674,957650,3.8,5550878,1458915,
21-2020,1.35,29433,21862,2.99,2127276,711067,1.15,15917,13875,1.23,326443,265401,3.06,2997733,979776,3.82,5621710,1473474,
22-2021,1.39,32156,23134,2.99,2144568,716978,1.2,19290,16123,1.27,339462,267071,3.15,3106397,985565,3.47,5130625,1477378,
