    S.N.,Vegetables,Area,Production,Yield
1,Cauliflower,39214,611015,15.58
2,Cabbage,34314,587668,17.13
3,Broccoli,2665,30523,11.45
4,Tomato,22911,422703,18.45
5,Radish,18175,289558,15.93
6,Broad Leaf Mustard,11658,171215,14.69
7,Carrot,3264,37176,11.39
8,Turnip,457,5900,12.92
9,Capsicum,1931,20002,10.36
10,Peas,8425,77121,9.15
11,French Beans,3011,27728,9.21
12,French Beans -Pole Type,3975,41769,10.51
13,French Beans -BushType,1461,12738,8.72
14,French Beans - Sword Type,1413,11701,8.28
15,Broad Beans,1682,12784,7.6
16,Asparagus Beans,4563,49757,10.9
17,Cowpea,3814,35508,9.31
18,Other (Legumes),1588,13763,8.66
19,Asparagus,175,1258,7.19
20,Tree tomato,138,1383,10.01
21,Chilli Akabare,1728,11224,6.49
22,Chilli,7945,75664,9.52
23,Okra,9397,112260,11.95
24,Brinjal,8871,129938,14.65
25,Onion,13189,166904,12.65
26,Cucumber,10309,159625,15.48
27,Pumpkin,7238,108533,15
28,Squash,2768,39581,14.3
29,Bitter Gourd,9728,134112,13.79
30,Pointed Gourd,3858,51468,13.34
31,Sponge Gourd,6857,92594,13.5
32,Ridge Gourd,1470,18123,12.33
33,Snake Gourd,1716,23254,13.55
34,Bottle Gourd,7918,129602,16.37
35,Ash Gourd,714,9827,13.76
36,Balsam Gourd,232,2262,9.74
37,Kakari,201,2788,13.86
38,Kundru,107,1282,12.03
39,Chayote,1689,28132,16.65
40,Watermelon,2473,52550,21.25
41,Other (Cucurbits),836,9733,11.65
42,Drumsticks,156,2827,18.16
43,Lettuce,97,817,8.38
44,Fennel Leaf,159,1542,9.71
45,Coriander Leaf,1818,17236,9.48
46,Spinach,1781,19074,10.71
47,Cress,1381,13258,9.6
48,Amaranthus,1441,14758,10.24
49,Fenugreek Leaf,1097,9543,8.7
50,Swisschard,573,4984,8.7
51,Others (Leafy Veg.),1593,19127,12
52,Colocasia,4838,57874,11.96
53,Yam,1323,19766,14.94
54,Elephant Foot Yam,880,16810,19.1
55,Other (Tubers),971,12819,13.2
56,Others(veg.),7704,124817,16.2
