Year,Citrus_Total Area (Ha.),Citrus_Productive Area (Ha.),Citrus_Production (Mt.),Citrus_Yield (Mt./Ha.),Winter_Total Area (Ha.),Winter_Productive Area (Ha.),Winter_Production (Mt.),Winter_Yield (Mt./Ha.),Summer_Total Area (Ha.),Summer_Productive Area (Ha.),Summer_Production (Mt.),Summer_Yield (Mt./Ha.)
2012/13,36975,23645,216188,9.14,24691,15577,122407,7.86,76093,62258,600135,9.64
2013/14,38988,25497,224357,8.8,25182,16318,113657,6.97,84038,68270,627030,9.18
2014/15,39035,25261,222789,8.82,27125,16849,128155,7.61,84227,68691,641759,9.34
2015/16,40554,24854,218447,8.79,27819,17125,126790,7.4,88826,68608,631224,9.2
2016/17,46328,26759,239773,8.96,27918,13937,93592,6.72,88414,69806,684942,9.81
2017/18,44424,25964,245176,9.44,28376,15031,108315,7.2,87594,70749,733439,10.37
2018/19,46392,28411,272620,9.6,29410,15877,115443,7.27,88802,75740,790289,10.43
2019/20,46715,27339,274140,10.03,31940,16318,116802,7.16,92664,75368,858822,11.4
2020/21,50235,32188,311188,9.67,33547,17351,128214,7.39,93787,79194,916816,11.58
2021/ 22,49306,32317,306149,9.47,33573,17979,132031,7.34,99770,79237,978570,12.35
