District,Cattle,Buffaloes,Sheep,Goat,Pigs,Fowl,Duck
BHOJPUR,92627,53971,6141,103605,45539,311277,2050
DHANKUTA,95229,18899,571,193442,30776,567907,3384
ILAM,159110,23561,132,166747,29935,506024,979
JHAPA,282732,78908,41,335670,69730,1267916,18763
KHOTANG,87692,59562,5910,140391,46018,350459,3210
MORANG,445191,111403,423,399215,56307,1446312,57363
OKHALDHUNGA,58718,49887,7509,153420,60318,290419,425
PANCHTHAR,103816,41107,1224,131554,43782,358060,757
SANKHUWASABHA,97007,42334,12462,169105,34379,418787,590
SOLUKHUMBU,47254,42278,8375,92561,23582,236189,929
SUNSARI,317662,167955,2773,287395,57147,1054005,19720
TAPLEJUNG,53985,17562,5199,90144,26854,234587,1099
TEHRATHUM,66075,23227,5058,128780,29862,220443,2114
UDAYAPUR,131687,107991,764,307681,53540,696908,14048
BARA,171992,175637,275,310701,23042,578423,12677
DHANUSA,164925,73918,492,254335,6477,913612,48109
MAHOTTARI,141646,78209,624,218595,14113,654939,7896
PARSA,94659,59512,178,129186,9690,932113,8127
RAUTAHAT,142255,87354,-,230958,9407,325768,9884
SAPTARI,279775,202710,2319,221841,24528,1136773,25839
SARLAHI,234669,99797,1030,258188,9760,532197,10623
SIRAHA,108082,98790,1070,145512,6314,926262,12213
BHAKTAPUR,29885,9203,1023,44660,15934,2288224,7254
CHITWAN,103132,77896,3087,256993,15454,16722623,28615
DHADING,135057,96962,9512,193815,17086,2213624,2099
DOLAKHA,76923,56608,11133,188319,8775,502341,824
KATHMANDU,52470,39333,1190,46394,34358,2664366,21334
KAVREPALANCHOWK,150554,149683,3719,315688,12074,2458908,4770
LALITPUR,23755,59339,2400,76735,10181,1404979,17394
MAKWANPUR,110981,111084,2857,305819,9888,2005828,4220
NUWAKOT,126771,99304,14428,353859,10665,806839,830
RAMECHHAP,72027,44687,2495,241402,12090,294540,389
RASUWA,13828,6064,26897,43507,1016,98348,350
SINDHULI,135966,67160,465,313950,11845,1083312,6562
SINDHUPALCHOK,58142,64443,9808,212758,8372,450521,833
BAGLUNG,20506,80496,8786,141779,11411,375288,3640
GORKHA,60682,58950,17450,309413,11892,510898,2231
KASKI,41368,49705,12353,177015,23961,2394101,44121
LAMJUNG,18529,36401,12287,139292,7123,309161,48
MANANG,1827,-,2726,5858,63,6853,-
MUSTANG,5973,113,4368,49839,33,9774,102
MYAGDI,28883,23200,25576,110601,2241,203278,1450
NAWALPUR,70577,59157,2177,132280,24827,858172,43000
PARBAT,14888,29035,2805,57994,7602,286317,4793
SYANGJA,23638,95621,2157,274313,24030,462934,-
TANAHU,48809,52788,669,449853,56262,570640,12694
ARGHAKHANCHI,37526,90178,1100,140835,2685,475258,2286
BANKE,211244,194484,9970,328963,72314,1104334,2544
BARDIYA,116599,130955,11574,216380,36609,469458,2441
DANG,135242,145283,32530,321382,88053,2894916,15723
GULMI,42390,48277,6099,158680,10952,245804,878
KAPILVASTU,156096,148732,12215,280011,22676,638153,6371
PALPA,72454,92664,2652,229771,26963,728411,4379
PYUTHAN,71531,75900,13217,192053,10515,312250,1116
ROLPA,98440,55940,13451,214633,34901,480545,563
EASTERN RUKUM,17037,17827,21512,66012,9814,124124,609
RUPANDEHI,97446,164330,4294,252660,16586,1311453,28835
DAILEKH,81383,57055,15775,247394,11250,155806,1250
DOLPA,22366,3285,36256,55413,101,40826,95
HUMLA,16696,2815,28969,76933,110,14861,161
JAJARKOT,38911,32344,24740,124573,2574,146548,724
JUMLA,65049,3556,76583,46831,303,64918,5164
KALIKOT,24697,28471,33888,88697,1526,60820,1565
MUGU,38093,13719,39795,49988,73,12093,343
WESTERN RUKUM,26532,51548,26461,173077,3110,389083,3608
SALYAN,118447,70243,14807,330644,11653,412522,2946
SURKHET,53763,39816,6003,350855,11622,336096,6697
ACHHAM,43381,35928,3186,117813,364,84016,316
BAITADI,122316,50930,535,132341,608,28418,237
BAJHANG,119752,31497,26574,84998,1890,47724,413
BAJURA,83233,22339,19763,80015,1482,52711,440
DADELDHURA,88970,22006,445,144694,1154,63889,207
DARCHULA,66227,30945,22966,70215,510,35973,225
DOTI,107040,48927,665,122529,2283,123181,178
KAILALI,212009,161416,14635,145469,22655,1483613,7587
KANCHANPUR,151332,114859,4666,134614,13034,995344,4258
PARASI,75036,64859,2939,101069,37969,528715,35433
