Province,District,Maize_Area,Maize_Production,Maize_Yield,Wheat_Area,Wheat_Production,Wheat_Yield,Paddy_Area,Paddy_Production,Paddy_Yield
KOSHI,TAPLEJUNG,11198,38312,3.42,1537,2875,1.87,6772,20451,3.02
KOSHI,SANKHUWASABHA,12458,33146,2.66,715,1650,2.31,11998,33401,2.78
KOSHI,SOLUKHUMBU,13770,39048,2.84,2665,5306,1.99,1276,3485,2.73
KOSHI,PANCHTHAR,18683,42971,2.3,3902,6476,1.66,7852,22769,2.9
KOSHI,ILLAM,33915,131700,3.88,4580,11679,2.55,11999,41750,3.48
KOSHI,TERHATHUM,12897,38756,3.01,2399,4796,2,7782,21676,2.79
KOSHI,DHANKUTA,13467,45114,3.35,1302,2733,2.1,6362,24626,3.87
KOSHI,BHOJPUR,36898,97555,2.64,414,745,1.8,14570,37303,2.56
KOSHI,KHOTANG,35845,98079,2.74,3530,6531,1.85,12267,32017,2.61
KOSHI,OKHALDHUNGA,12400,39680,3.2,2145,3330,1.55,4021,10008,2.49
KOSHI,UDAYAPUR,17836,55239,3.1,5130,12825,2.5,14233,55170,3.88
KOSHI,JHAPA,41059,162613,3.96,5000,13505,2.7,92915,406738,4.38
KOSHI,MORANG,18552,68801,3.71,11755,33687,2.87,87746,354000,4.03
KOSHI,SUNSARI,9034,29432,3.26,12127,41195,3.4,53392,200320,3.75
MADHESH,SAPTARI,6589,23211,3.52,15017,54351,3.62,50864,172195,3.39
MADHESH,SIRAHA,3755,14007,3.73,11794,41468,3.52,48885,164931,3.37
MADHESH,DHANUSHA,3476,11343,3.26,37788,126387,3.34,55806,179000,3.21
MADHESH,MAHOTTARI,9754,29783,3.05,29379,95874,3.26,39436,148086,3.76
MADHESH,SARLAHI,10205,35831,3.51,22984,77128,3.36,45964,159263,3.46
MADHESH,RAUTAHAT,3513,12821,3.65,15991,52888,3.31,40529,129765,3.2
MADHESH,BARA,11940,46653,3.91,27103,94650,3.49,55198,214553,3.89
MADHESH,PARSA,4189,17166,4.1,23008,86163,3.74,45216,221411,4.9
BAGMATI,DOLAKHA,6171,22155,3.59,4246,7515,1.77,2872,7094,2.47
BAGMATI,SINDHUPALCHOK,26190,75713,2.89,6904,8723,1.26,11862,38878,3.28
BAGMATI,RASUWA,2524,6310,2.5,761,1232,1.62,1245,3525,2.83
BAGMATI,RAMECHAP,22367,68286,3.05,3674,8560,2.33,8709,19207,2.21
BAGMATI,SINDHULI,27556,85601,3.11,6354,14890,2.34,14161,54526,3.85
BAGMATI,KAVRE,26010,88550,3.4,8860,28700,3.24,10861,38004,3.5
BAGMATI,BHAKTAPUR,1900,7750,4.08,3150,12409,3.94,3939,20169,5.12
BAGMATI,LALITPUR,8573,33656,3.93,3485,11858,3.4,4169,18552,4.45
BAGMATI,KATHMANDU,6897,29748,4.31,3200,11174,3.49,5955,26499,4.45
BAGMATI,NUWAKOT,16206,49408,3.05,4495,16044,3.57,17868,75235,4.21
BAGMATI,DHADING,19776,45785,2.32,4748,15496,3.26,13632,55038,4.04
BAGMATI,MAKWANPUR,24113,78209,3.24,4128,13622,3.3,12067,45520,3.77
BAGMATI,CHITWAN,28055,105239,3.75,5151,23248,4.51,27403,104544,3.82
GANDAKI,MANANG,177,351,1.98,213,500,2.35,-,-,-
GANDAKI,MUSTANG,67,99,1.48,84,142,1.69,-,-,-
GANDAKI,GORKHA,18935,46400,2.45,3910,9235,2.36,12586,48250,3.83
GANDAKI,LAMJUNG,19255,48166,2.5,368,962,2.61,14598,46481,3.18
GANDAKI,TANAHU,22316,74574,3.34,1643,4119,2.51,11007,43962,3.99
GANDAKI,KASKI,13583,39229,2.97,6820,17201,2.52,20055,59531,2.97
